
全部源码,#genre#
CCTV1,http://58.19.182.186:9901/tsfile/live/0001_1.m3u8
CCTV2,http://58.19.182.186:9901/tsfile/live/0002_1.m3u8
CCTV3,http://58.19.182.186:9901/tsfile/live/0003_1.m3u8
CCTV4,http://58.19.182.186:9901/tsfile/live/0004_1.m3u8
CCTV5,http://58.19.182.186:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://58.19.182.186:9901/tsfile/live/0016_1.m3u8
CCTV6,http://58.19.182.186:9901/tsfile/live/0006_1.m3u8
CCTV7,http://58.19.182.186:9901/tsfile/live/0007_1.m3u8
CCTV8,http://58.19.182.186:9901/tsfile/live/0008_1.m3u8
CCTV9,http://58.19.182.186:9901/tsfile/live/0009_1.m3u8
CCTV10,http://58.19.182.186:9901/tsfile/live/0010_1.m3u8
CCTV11,http://58.19.182.186:9901/tsfile/live/0011_1.m3u8
CCTV12,http://58.19.182.186:9901/tsfile/live/0012_1.m3u8
CCTV13,http://58.19.182.186:9901/tsfile/live/0013_1.m3u8
CCTV14,http://58.19.182.186:9901/tsfile/live/0014_1.m3u8
CCTV15,http://58.19.182.186:9901/tsfile/live/0015_1.m3u8
CCTV17,http://58.19.182.186:9901/tsfile/live/0019_1.m3u8
CETV1,http://58.19.182.186:9901/tsfile/live/1002_1.m3u8
CGTN,http://58.19.182.186:9901/tsfile/live/1000_1.m3u8
安徽卫视,http://58.19.182.186:9901/tsfile/live/0130_1.m3u8
北京卫视,http://58.19.182.186:9901/tsfile/live/0122_1.m3u8
东方卫视,http://58.19.182.186:9901/tsfile/live/0107_1.m3u8
东南卫视,http://58.19.182.186:9901/tsfile/live/0137_1.m3u8
广东卫视,http://58.19.182.186:9901/tsfile/live/0125_1.m3u8
广西卫视,http://58.19.182.186:9901/tsfile/live/0113_1.m3u8
贵州卫视,http://58.19.182.186:9901/tsfile/live/0120_1.m3u8
海南卫视,http://58.19.182.186:9901/tsfile/live/1007_1.m3u8
河南卫视,http://58.19.182.186:9901/tsfile/live/0139_1.m3u8
黑龙江卫视,http://58.19.182.186:9901/tsfile/live/0143_1.m3u8
湖南卫视,http://58.19.182.186:9901/tsfile/live/0128_1.m3u8
